Auteur,Coauteurs,Date,Langue,Titre,Summary
CRAINICH David,EECKHOUDT Le Courtois,16/05/2017,anglais,Health and portfolio choices,"The effect of health status on portfolio decisions has been extensively studied from an empirical viewpoint. In this paper, we propose a theoretical model of individuals’ choice of financial assets under bivariate utility functions depending on wealth and health. Our approach makes an extensive use of the diffidence theorem. We establish the conditions under which the share of wealth held in risky assets falls as: 1) individuals’ health status deteriorates and; 2) individuals’ health status becomes risky. These conditions are shown to be related to the behaviour of the intensities of correlation aversion and of cross prudence as wealth increases."
Eib Constanze,Soenen,01/05/2017,anglais,Why Should Organizations Treat their Employees Fairly?,"This chapter explains why organizations should treat employees fairly and what happens when they do not. In the context of work and organizational psychology, organizational justice typically refers to the perceived fairness of an authority's decision-making. Authority figures like supervisors or managers, who are perceived as behaving fairly, are trusted, which, in turn, can affect performance positively. Conversely, employees who feel treated unfairly are more likely to exhibit behaviours that harm the organization or its members. In this chapter, we explore why justice is important for individuals in general and in the work context, under what circumstances someone is likely to feel fairly, or unfairly, treated, what the characteristics of a fair decision are and the rules managers have to abide by in order to be perceived as fair. Then, we review whether all people are equally impacted by the presence or absence of justice. Finally, we consider how fair organizations can be built."
Kornberger Martin,,01/05/2017,anglais,The visible hand and the crowd,"The effectiveness and creativity of Linux, Wikipedia, and a plethora of other distributed innovation systems have attracted the attention of scholars, practitioners, and policy makers. The hallmark of these distributed innovation systems is that value creation transcends the boundaries of hierarchically organized firms. To date, only relatively few studies have focused on the organization design of distributed innovation systems. This conceptual article addresses this lacuna by asking, how does organization design structure relationships in distributed innovation systems, including interactions between the “visible hand” of the manager and the “crowd” of distributed innovation? The purpose of this article is to shift the unit of analysis of organization design from the individual firm to networks of actors providing a framework to study how design organizes distributed innovation systems. In order to do so, three design mechanisms (interface design, the design of participatory architectures, and the design of evaluative infrastructures) are proposed through which firms and other network actors organize their encounter in “the open” and through which they manage communication, coordination of tasks, and control in distributed innovation systems."
Rahimi Mohammad,Baboli Rekik,01/05/2017,anglais,Multi-objective inventory routing problem,"The Inventory Routing Problem has been mainly studied in recent decades under an economic performance perspective. In this paper, we develop a multi-objective mathematical framework for the IRP to link: (i) the economic performance, (ii) the achieved server level in terms of shortage and delivery delays and (iii) the environmental footprint. The framework developed addresses the uncertainty by considering fuzzy distributions for certain problem inputs, such as the demand and the transportation costs. We show the negative impact on the economic performance when service level targets are exogenously chosen without coordination with the logistics components (inventory and distribution)."
Rokka Joonas,,01/05/2017,anglais,Champagne: marketplace icon,"What makes a simple wine, grown in a rather mediocre wine-growing region, one of the most famous and magical marketplace icons of today? How did champagne establish such a unique position, against all the odds, and become the global symbol of celebration? In seeking answers to these questions, this marketplace icon contribution elaborates on what 250 years of avant-garde champagne marketing can tell us about champagne’s ever-shifting image and role in consumer culture. I argue that the “imperishable fame” of champagne stems primarily from four epic myth-making moments that not only came to shape a national identity but also modern consumption ideologies in important ways."
Arnould Eric John,Cayla Dion,01/04/2017,anglais,"Fetish, magic, marketing",This article identifies specific forms of fetishistic enchantments produced by practices culturally specific to modern consumer culture. The authors show that magical practices are constitutive of two fetishistic marketing constructs: the consumer and the human luxury brand. Marketing magic enacts relations between man and the transcendent by bringing consumer personas ‘to life’ and manifesting ideals of the beautiful in luxury. Marketing magic is a practice of power – non-rationalist strategies for resolving intractable social problems. Consumer ‘personas’ create the manageable consumer interlocutors for companies. Charismatic creative directors seem to evade the iron logic of commodity relationships via the magical conjuring of their own personas and of artful luxury.
Brigui-Chtioui Imène,Caillou,01/04/2017,anglais,Multidimensional Decision Model for Classifying Learners!!,"A new era of learning is arising, due to the development of the digital world and the maturity of web technologies. Massive open online courses (MOOCs) have emerged in this context and are challenging classical learning in spite of boundaries of time and space. They aim to provide good-quality education to masses that cannot be part of traditional university and school learning processes. This emancipation is coupled with a large amount of data collection via learning platforms. These data constitute a great opportunity to study interactions and to profit from this, in order to optimise learning and knowledge transfer. The challenge in creating value is how to represent, analyse and reuse data in order to characterise learners and so lead to better knowledge transfer. We focus, in this article, on the context of MOOC platforms based on Open edX (The leading online courses platform, initially developed by MIT and Harvard). The purpose of this paper is to propose a decision model that takes advantage of the different data-sets available on the learning platform in order to classify learners based on their behaviour and expertise. To this end, we propose a multi-agent approach that represents human actors using intelligent agents. A coordinator agent implements the multi-criteria decision model in order to optimise the learning process. This agent employs clustering algorithms and has an overview of the learning platform that enables it to assist learners and to learn from experiences and about other agents’ behaviour."
Soenen Guillaume,Melkonian Ambrose,01/04/2017,anglais,To Shift or Not to Shift?,"Building on fairness heuristic theory and dual-process theories of cognition, we examine individuals' perceptions of phase-shifting. We define phase-shifting as an individual perception that triggers a shift from type 1 to type 2 cognitive processes resulting in the reevaluation of justice judgments. In a longitudinal study of a merger, we empirically test the influence of phase-shifting perceptions on justice judgments, and we identify antecedents of phase-shifting perceptions. We find employees' perceptions of the change as a phase-shifting event moderates the relationship between overall justice judgments prior to change (time 1), and subsequent assessments of justice 6 months later (time 2). We study three situational antecedents (i.e., magnitude of change, managerial exemplarity, and coworker support for change) and one individual antecedent (i.e., dispositional resistance to change) of phase-shifting perceptions. The four hypothesized antecedents together predict 75% of employees' perceptions of the merger as a phase-shifting event. Implications for research and practice regarding organizational justice and organizational change are discussed."
Acosta Pilar,Perezts,25/03/2017,anglais,Unearthing Sedimentation Dynamics in Political CSR,"The stream on political corporate social responsibility (PCSR) argues that companies have recently assumed state-like roles to influence global governance. However, following emerging calls for greater contextualization of CSR, we trace the historic evolution of PCSR in the case of Colombia and argue that such political engagement by firms is not new. Looking beyond a linear chronological account, we reveal the sedimentation process behind PCSR by exploring the archetypical political roles businesses have taken on in providing public goods and acting as regulators, and chart their transformation. Our findings allow us to make two main contributions. First, by unearthing different strata of business and society relations, we enrich the research on PCSR, highlighting its historical sedimentation dynamics. By integrating institutional and historical perspectives, we respond to calls for complementary accounts of one of the premises found in the literature that considers globalization as the starting point of PCSR. Second, our exploration of the past and present of PCSR in Colombia provides scholars and practitioners with an overview of the complex state and stakes of CSR in that country. We also discuss the implications of sedimentation for PCSR theory and future research directions."
Grover Steven L.,Abid-Dupont Manville Hasel,24/03/2017,anglais,Repairing Broken Trust Between Leaders and Followers,"This study examines the conditions under which apologies help to elicit forgiveness and restore trust following trust violations between leaders and followers. The intentionality and severity of violations are examined in a critical incident study and a laboratory study. The results support a model in which forgiveness mediates the relation of apology quality and trust. More importantly, the moderation–mediation model shows that apology quality influenced forgiveness and subsequent trust following violations that were moderate in severity–intentionality combination. The effect of apologizing affects trust directly without forgiveness when the severity–intentionality combination held minor or extreme intensity. The results suggest a range in which apologies are effective and enrich understanding of the conditions under which trust can be recovered through an apology–forgiveness process in leader–follower relationships. The contribution of the study lies in elucidating that the combination of severity and intentionality of leaders’ trust violations has greater importance than either one separately."
Tavakoli Mohsen,Fayolle,24/03/2017,anglais,Entrepreneurship,"Today, leaders and experts around the world understand that small businesses and entrepreneurs represent a potential solution to certain key issues currently facing global societies: unemployment, slow economic growth, poverty, lack of competitiveness, sustainable development targets, social incoherence, and so on. Thus, entrepreneurship has been attracting increasing attention as a field of study. In this article, we aim to shed more light on the concept of entrepreneurship by presenting ongoing academic efforts to understand the phenomenon. As this is a complex topic with many possible angles, we chose to focus more particularly on the psychological and cognitive dimensions of entrepreneurship."
Courpasson David,,02/03/2017,anglais,Management as a Practice of Power,"This chapter emphasizes the centrality of power to management and organization. Management is a practice of power, framing management as a form of government whereby the conduct of individuals can be influenced and people can create arrangements permitting the distribution of work and responsibilities. It is also a capacity to construct infrastructures of power within which people can accomplish their tasks. Moreover, it is a practice of debate and deliberation around the means, ends and meanings of the workplace. On this basis, the chapter strives to highlight and illustrate the interrelations between management as power and some historical infrastructures within which power is concretely exercised. More specifically, it addresses the fundamental tension between centres and peripheries, suggesting that managing power is mostly about regulating the balance between the autonomy of local actors and the necessities of respecting central rules of operation."
Bommier Antoine,BRETSCHGER Le Grand,01/03/2017,anglais,Existence of equilibria in exhaustible resource markets with economies of scale and inventories,"The paper proves the existence of equilibrium in non-renewable resource markets when extraction costs are non-convex and resource storage is possible. Inventories flatten the consumption path and eliminate price jumps at the end of the extraction period, so that market equilibrium becomes possible. We distinguish between two types of solutions, one with immediate and one with delayed buildup of inventories. For both cases, we do not only characterize potential optimal paths but also show that equilibria actually exist under fairly general conditions. It is found that optimum resource extraction involves increasing quantities over a period of time. What is generally interpreted as an indicator of increasing resource abundance is thus perfectly compatible with constant resource stocks."
Castaldo Sandro,Grosso,01/03/2017,anglais,Prénatal: the history of a renewal in the retail business,"This is part of a case series. The main issue investigated on the case is the adaptation of the strategy of a retail company to its environment evolution and its managerial implications for an effective implementation. A new strategy to lead the expected results implies that several effective choices should be taken by the top management at different levels of the retailing mix, the HR management and the supply chain organizations. Part B of the case focuses on these key choices."
Castaldo Sandro,Grosso,01/03/2017,anglais,Prénatal: the history of a renewal in the retail business,"This is part of a case series. The main issue investigated on the case is the adaptation of the strategy of a retail company to its environment evolution and its managerial implications for an effective implementation. In particular, Part A deals with the analysis of the environment and the new strategy definition."
Castaldo Sandro,Grosso,01/03/2017,anglais,Prénatal: the history of a renewal in the retail business,This is part of a case series. This part focuses on the implementation of the managerial choices to translate the new strategy at the stores level and opens to new challenges for the company deriving from the new scenario.
Dattée Brice,BARLOW,01/03/2017,anglais,Multilevel organizational adaptation,"We use the case of a “whole-system” change program in a national healthcare system to empirically examine the multilevel dynamics underlying organizational adaptation. Our analysis demonstrates how the cognitive distance between agents’ causal representations affects opportunities to cooperate in hierarchical systems. Using complexity theory, we identify a scale-invariant causal pathway that can be applied recursively across many organizational levels. At each level, three coupled feedback loops determine how local agents modify their cognitive representations to include uncovered interdependencies and synchronize their adaptive search across organizational boundaries: a “boundary work” loop, a “small wins” loop, and a “parochialism” loop. Our results also point to the scale-dependency of the strength of dissipative processes across levels. These novel results further develop the theory of organizational change and have practical implications for large multilevel organizations, especially regarding the sustainability of improvements."
Kelani Abdou,Quittard-Pinon,01/03/2017,anglais,Pricing and Hedging Variable Annuities in a Lévy Market,"Pricing and hedging life insurance contracts with minimum guarantees are major areas of concern for insurers and researchers. In this article, we propose a unified framework for pricing, hedging, and assessing the risk embedded in the guarantees offered by Variable Annuities in a Lévy market. We address these questions from a risk management perspective. This method proves to be fast, accurate, and efficient. For hedging, we use a local risk minimization to provide a concise formula for the optimal hedging ratio. We also consider hedging strategies that use a portfolio of standard options. For assessing risk, we introduce an accumulated discounted loss function that takes mortality, transaction costs, and fees into account. We apply our resulting unified framework to the Minimum Guarantees for Maturity Benefit, Death Benefit, and Accumulation Benefit contracts. We illustrate the whole method with CGMY and Kou processes, which prove to offer a realistic modeling for financial prices. From this application, we draw important practical implications. In particular, we show that the assumption of geometric Brownian motion leads to undervalue the actual economic capital necessary to hedge and gives an illusion of safety."
KOCH Michael,Forgues Monties,01/03/2017,anglais,The Way to the Top,"How have the CEOs of Fortune 100 companies worked their way to the top position? Are there several paths to the top, or have most present-day CEOs moved up the ranks in a similar fashion? We examine the employment trajectories of all of the current Fortune 100 CEOs across their entire working careers to answer these questions. The analysis developed in this article is carried out in two steps. We first use sequence analysis to find the patterns that are characteristic of the career paths of these CEOs. We then apply clustering techniques to identify distinct groups of career paths that have led individuals to the uppermost management level. Our results show that the careers of the Fortune 100 CEOs have largely followed traditional career paths that are symbolized by steady progression toward more responsibility, little mobility between firms and industries, and a strong focus on general management functions."
Nekhili Mehdi,Nagati Chtioui Nekhili,01/03/2017,anglais,Gender-diverse board and the relevance of voluntary CSR reporting,"In this paper, we focus on voluntary corporate social responsibility (CSR) disclosure, and we test the extent to which the value relevance of CSR reporting is affected by the appointment of female directors. Using a sample of French listed companies belonging to the SBF 120 index from 2001 to 2011, we control for differences in firm characteristics between firms with and without female board membership by using propensity score matching. Our results show that high CSR reporting is more relevant in terms of market value for firms with gender-diverse boards than for firms with completely male directors. This finding holds when we use the accounting-based performance measures, namely, return on assets (ROA) and return on equity (ROE). We also highlight that engaging an external assurance provider for CSR reporting is value relevant for firms without female directors but not value relevant for firms with female directors, suggesting a substitute relationship between gender-diverse boards and CSR assurance. Our results are stable when we consider the presence of at least two and three female directors."
Wu Xianhua,Chen Guo Wang Gong,01/03/2017,anglais,"Spatial concentration, impact factors and prevention-control measures of PM2.5 pollution in China","To improve the air pollution of China fundamentally, effective measures should be proposed based on the thorough understanding of the characteristics of air pollution. Based on spatial econometrics, this paper investigates the characteristics and analyzes the determinants of the spatial concentration of PM2.5 pollution in China. Results show that: (1) PM2.5 pollution is highly concentrated in Central and Eastern China, covering 17 regions which accounts for 75% of the total population and GDP (gross domestic product). (2) The PM2.5 values in China show a significant spatial correlation. Provinces such as Shandong, Henan, Anhui, and Hubei are high in PM2.5 concentration. Meanwhile, these provinces are high in population density, GDP, and coal consumptions and have a large amount of civilian cars. (3) PM2.5 pollution shows spatial spillover effects. A 1% increase in the PM2.5 values of neighboring provinces will lead to a 0.78% increase in that of one province. (4) An upward U-shaped relationship is observed between the density of per capita GDP and PM2.5, and the PM2.5 value is far from the turning point of growth. With the further growth of the density of per capita GDP, the PM2.5 value is expected to increase rapidly and continuously. (5) Based on the characteristics of spatial concentration and spatial spillover, this paper proposes several prevention-control measures for haze pollution, such as stressing on the treatment of air pollution in severely polluted provinces, avoiding moving pollution industries to neighboring areas, performing joint prevention and control nationwide. Air pollution may only be rooted by transforming the pattern of economic growth."
Brigui-Chtioui Imène,Caillou Negre,24/02/2017,anglais,Intelligent Digital Learning,"In the context of intelligent digital learning, we propose an agent-based recommender system that aims to help learners overcome their gaps by suggesting relevant learning resources. The main idea is to provide them with appropriate support in order to make their learning experience more effective. To this end we design an agent-based cooperative system where autonomous agents are able to update recommendation data and to improve the recommender outcome on behalf of their past experiences in the learning platform."
Santos Susana C.,Caetano Mitchell Landström Fayolle,24/02/2017,anglais,The Emergence of Entrepreneurial Behaviour,"In recent years entrepreneurship has become one of the most popular fields of research in management studies. As the subject has broadened, increasing attention has been paid to the behavioural aspects of different practices to identify and pursue entrepreneurial opportunities. This timely book analyses three key strands of contemporary research into entrepreneurial behaviour: intention, education and orientation. It offers novel insights that can be applied to foster entrepreneurial activities in different settings."
Capraro Valerio,Corgnet Espin Hernán-González,01/02/2017,anglais,Deliberation favours social efficiency by making people disregard their relative shares,"Groups make decisions on both the production and the distribution of resources. These decisions typically involve a tension between increasing the total level of group resources (i.e. social efficiency) and distributing these resources among group members (i.e. individuals' relative shares). This is the case because the redistribution process may destroy part of the resources, thus resulting in socially inefficient allocations. Here we apply a dual-process approach to understand the cognitive underpinnings of this fundamental tension. We conducted a set of experiments to examine the extent to which different allocation decisions respond to intuition or deliberation. In a newly developed approach, we assess intuition and deliberation at both the trait level (using the Cognitive Reflection Test, henceforth CRT) and the state level (through the experimental manipulation of response times). To test for robustness, experiments were conducted in two countries: the USA and India. Despite absolute-level differences across countries, in both locations we show that: (i) time pressure and low CRT scores are associated with individuals' concerns for their relative shares and (ii) time delay and high CRT scores are associated with individuals' concerns for social efficiency. These findings demonstrate that deliberation favours social efficiency by overriding individuals' intuitive tendency to focus on relative shares."
Courpasson David,Dany DELBRIDGE,01/02/2017,anglais,Politics of place,"The meaningfulness of the physical place within which resistance is nurtured and enacted has not been carefully considered in research on space and organizations. In this article, we offer two stories of middle managers developing resistance to managerial policies and decisions. We show that the appropriation and reconstruction of specific places by middle managers helps them to build autonomous resisting work thanks to the meanings that resisters attribute to the place in which they undertake resistance. We contribute to the literature on space and organizations by showing that resistance is a social experience through which individuals shape physical places and exploit the geographical blurring of organizations to develop political efforts that can be consequential. We also suggest the central role played by middle managers in the subversion of these meaningful places of resistance."
Fernandez Pablo,Marti Farchi,01/02/2017,anglais,Mundane and Everyday Politics for and from the Neighborhood,"Social movement scholars and activists have recognized the difficulties of mobilizing people for the long haul, moving from the exuberance of the protest to the dull and ordinary work necessary to produce sustainable change. Drawing on ethnographic work in La Juanita, in Greater Buenos Aires, we look at local actions for and from the neighborhood in order to resist political domination, taken by people who have been unemployed for long periods of time. We identified concrete and local practices and interventions—which we call mundane and everyday politics – that are embedded in a territory and go beyond the typical practices of social movements and the expected infrapolitical activity in allowing the disfranchised to engage in the political process."
Gao Peiran,Gong Zhang Mao Liu,01/02/2017,anglais,How CEO support of IT moderates the effectiveness of IT infrastructure and human resources in the IT assimilation process,"While previous studies have examined the effectiveness of IT resources in the IT assimilation process, CEO support of IT has not been integrated into. We thereby investigate the IT assimilation process by explaining how CEO support of IT moderates the relationship between IT resources and IT business spanning capability (ITBSC). Based on a multi-industry survey, we empirically show CEO support differentially moderates the impact of IT infrastructure and human resources, highlight CEO support can substitute the positive effects of IT infrastructure resources, and demonstrate that IT infrastructure has a positive effect on ITBSC only under low levels of CEO support."
Kornberger Martin,Meyer Brandtner Höllerer,01/02/2017,anglais,When Bureaucracy Meets the Crowd,"Open Government is en vogue, yet vague: while practitioners, policy-makers, and others praise its virtues, little is known about how Open Government relates to bureaucratic organization. This paper presents insights from a qualitative investigation into the City of Vienna, Austria. It demonstrates how the encounter between the city administration and “the open” juxtaposes the decentralizing principles of the crowd, such as transparency, participation, and distributed cognition, with the centralizing principles of bureaucracy, such as secrecy, expert knowledge, written files, and rules. The paper explores how this theoretical conundrum is played out and how senior city managers perceive Open Government in relation to the bureaucratic nature of their administration. The purpose of this paper is twofold: first, to empirically trace the complexities of the encounter between bureaucracy and Open Government; and second, to critically theorize the ongoing rationalization of public administration in spite of constant challenges to its bureaucratic principles. In so doing, the paper advances our understanding of modern bureaucratic organizations under the condition of increased openness, transparency, and interaction with their environments."
Pagani Margherita,Malacarne,01/02/2017,anglais,Experiential engagement and active vs. passive behavior in mobile location-based social networks,The study aims to understand how social media and mobile change customer experiences and influence the online active behavior. We explore how leveraging differently on experiences that the users live online helps to increase experiential engagement and mitigate the negative influence of privacy concern on the active use of location-based social networking applications. We conceptualize experiential engagement as a second-order construct that is manifested in two first-order “experience” constructs (Personal Engagement and Social Interactive Engagement). We theorize that our engagement constructs are causally related to consumer active and passive use of a mobile location-based social network and we test (n=379) the moderating role of privacy concern on this relation in EU and US. Findings show that Personal Engagement plays an important role influencing active usage when users are more concerned with privacy issues. Social Interactive Engagement shows a significant effect on passive usage meaning that the more people experience a deep sense of community the more they are interested in reading other comments or collecting information. Managerial implications are discussed
Wassmer Ulrich,LI MADHOK,01/02/2017,anglais,Resource ambidexterity through alliance portfolios and firm performance,"Research Summary Partner resources can be an important alternative to internal firm resources for attaining dual and seemingly incompatible strategic objectives. We extend arguments about managing conflicting objectives typically made at the firm level to the level of a firm's alliance portfolio. Specifically, will a balance between revenue enhancement and cost reduction attained collectively through partner resources accessed via a firm's various alliances be similarly beneficial for firm performance? Additionally, how do strategic attributes of alliance portfolio configuration, specifically alliance portfolio size and partner resource scope, condition the balance-performance relationship? Based on data from the global airline industry, we find support for the balance – performance relationship, though such balance is less beneficial for firms in the case of access to a broader resource scope per partner. Managerial Summary Increasing revenue and reducing costs simultaneously can potentially enhance firm competitiveness. We highlight that an alliance strategy can be an important alternative to internal resources for attaining such dual strategic objectives, particularly when partner resources accessed through alliances are treated collectively as portfolios. We examine the importance of balancing product-market extending and efficiency-improving partner resources in the global airline industry, as well as the impact of two alternate strategies for accessing resources through alliances: fewer partners with more resources per partner or more partners with fewer resources per partner. We find that resource balance at the portfolio level helps airlines improve performance. Our results also suggest that managers should be cautious of accessing too many resources through just a few partners."
Yuan Zhe,Gong,01/02/2017,anglais,Bot-In-Time Delivery for Robotic Mobile Fulfillment Systems,"This paper studies a robotic mobile fulfillment system (RMFS) featured by robots transporting movables shelves to order pickers. The RMFS can increase productivity, reduce costs, increase order picking accuracy, and improve operational flexibility. We build queue network models to describe the RMFS with two protocols in sharing robots for pickers, propose the corresponding algorithms, conduct numerical analyses, and evaluate the performance of the RMFS by calculating the throughput time. We then calculate the optimal number and the velocity of robots, and provide the effective design rules for the RMFS."
Courpasson David,Monties,01/01/2017,anglais,“I Am My Body”. Physical Selves of Police Officers in a Changing Institution,"Most studies on identity work have overlooked the corporeal quality of occupational life. Despite calls to attempt such engagement, little is known about the role of the body in occupations for which corporeal elements are central in the affirmation of identity. This study aims to answer such calls by providing a detailed ethnography of police work. Focusing on four bodily practices, we demonstrate how fitness, intimidation, cleanliness, and toughness are central elements to the officers’ construction of self. We thereby highlight the notion of physical selfhood as a way to understand the body/identity nexus among police officers and their capacity to resist new work requirements. We view bodies through a lens of resistance, rather than docility and compliance as much previous research has done. We aim to contribute to scholarship on identity work by portraying the politicization of bodies as a powerful component, thereby helping professionals to deflect some important institutional pressures affecting their work."
Ferreira João J. M.,Fayolle Fernandes Raposo,01/01/2017,anglais,Effects of Schumpeterian and Kirznerian entrepreneurship on economic growth,"The relevant literature recognises Schumpeterian and Kirznerian entrepreneurship as mechanisms that can impact economic growth. This article seeks to explore the effects of these two types of entrepreneurship on economic growth across the three GEM (Global Entrepreneurship Monitor) economic ecosystems (factor-driven economy, efficiency-driven economy, innovation-driven economy). Using different databases, we applied unbalanced panel data for 43 countries (2009–2013). By estimating the econometric models, we were able to calculate the effects of these two types of entrepreneurship on economic growth in the three different types of economy. In terms of the overall model for GEM economies, neither Schumpeterian nor Kirznerian entrepreneurship return any statistically significant effects on the Global Competitiveness Index or on GDP growth. However, the Total Early-Stage Entrepreneurial Activity variable generates a positive effect on the Global Competitiveness Index. The results presented in this paper provide insights into entrepreneurship and the GEM entrepreneurial economic ecosystems."
Graebner Melissa E.,HEIMERIKS Huy Vaara,01/01/2017,anglais,The Process of Postmerger Integration,"Mergers and acquisitions (M&As) continue to be prevalent despite frequently yielding disappointing outcomes. Postmerger integration plays a critical role in M&A success, yet many questions about M&A implementation remain unanswered. In this article, we review research on postmerger integration, which we organize around strategic integration, sociocultural integration, and experience and learning. We then lay out a research agenda that centers on expanding our understanding of processual dynamics in postmerger integration. We focus on opportunities related to temporality, decision-making, practices and tools, and emotionality."
Loi Michela,Castriotta Barbosa Di Guardo Fayolle Linan,01/01/2017,anglais,Modes of Thought in Entrepreneurial Intention Studies,"The concept of collective intelligence supports the notion that the coexistence of different perspectives is a necessary condition for a complex system to adapt to the environment and to keep its vitality. Transposing this assumption to a scientific community, we investigate the field of entrepreneurial intention studies and examine its internal dynamics by identifying the relevant practices to conduct research. Specifically, we conduct a hybrid bibliometric analysis to discover 68 articles constituting the field’s knowledge base and 83 articles representing its research fronts. This analysis is completed by an analytical coding of each paper according to the collective intelligence framework proposed by Woolley and Fuchs (2011). We find both a convergent and a divergent perspective; the former oriented to clarifying and bounding concepts, theories, and contexts; the latter interested in opening new paths. However, a reflective perspective that calls into question the field’s assumptions to reformulate directions and general purposes is still lacking. Our results suggest a set of priorities to be taken into account in the interest of driving future research."
Toutain Olivier,Fayolle,01/01/2017,anglais,Labour Market Uncertainty and Career Perspectives,"Nowadays entrepreneurship is high on the agenda of many countries, and the number of entrepreneurship education initiatives is growing fast. Since the beginning of the third millennium, European Union institutions (European Commission 2003, 2009, 2010, 2013), OECD (2010) and national governments across the European Union have become increasingly involved in entrepreneurship education. The various schemes and initiatives address primarily two broad objectives, on the one hand, supporting new business start-ups and, on the other hand, developing an entrepreneurial mindset in society (and among the young in particular). For example, an international survey conducted by the European Commission shows that 87% of European higher education institutions and universities offer entrepreneurship education programmes (European Commission 2008a)."
Wassmer Ulrich,Pain Paquin,01/01/2017,anglais,Taking environmental partnerships seriously,"Increasingly, firms are integrating environmental sustainability into their business strategies. Yet, sustainability is a complex topic and many firms need to form environmental partnerships to access additional resources—in the form of investments, technologies, expertise, public image, and/or political influence—to develop competitive advantage. Environmental partnership decisions are difficult, however, because they often need to reconcile multifaceted sustainability issues with multi-level, and potentially divergent, strategic goals. To meet their intended objectives, companies should carefully consider the type of environmental partnerships and partners that can best meet their needs. Based on a review of the literature, interviews with executives responsible for environmental partnerships, and publicly available data, we find firms engage in three main types of environmental partnerships: innovation-seeking, legitimacy-building, and policy-influencing. Each type of partnership benefits from different types of resources and partner choices. Herein, we describe the advantages of each type of environmental partnership and partners that may best support them. Given that many firms develop environmental partnership portfolios, managing multiple environmental partnerships simultaneously, we also discuss the implications of our research for environmental partnership portfolios."
XU Haoxuan,Gong CHU Zhang,01/01/2017,anglais,Dynamic Lot-Sizing Models for Retailers with Online Channels,"This paper studies inventory replenishment planning problems for retailers with online channels. Such retailer is able to obtain advance demand information (ADI) in an environment of time-varying demands. We incorporate ADI into dynamic lot-sizing models to formulate the replenishment planning problems for retailers in three scenarios: (1) companies act as pure-play online retailers with customers homogeneous in demand lead time, (2) online customers are heterogeneous in demand lead time with priorities, and (3) retailers operate in a bricks and clicks structure, in which demands come from online and offline channels, with either independent or interactive channels. We formulate the problem in the general scenario of interactive demand channels as a mixed-integer linear programming model, and then develop a unified model through reformulation. Based on the optimality properties, we design a dynamic programming algorithm with polynomial running time to solve the unified model. The numerical experiments for several online retailers find that the method can significantly reduce the total inventory cost."
André Eric,,01/12/2016,anglais,Crisp monetary acts in multiple-priors models of decision under ambiguity,"In axiomatic models of decision under ambiguity using a set of priors, a clear distinction can be made between acts which are affected by ambiguity and those which are not: the crisp acts. In these multiple-priors models, the decision maker is indifferent between holding a constant act or holding a non constant crisp act with the same expected utility, if it exists. In financial settings, we show that this indifference, together with the standard definition of monetary acts in the Anscombe–Aumann framework, implies that the investor ignores the variance of some assets, a behavior which conflicts with the assumption on which modern portfolio theory has been built. In this paper we establish the geometrical and topological properties of the set of priors that rule out the existence of non constant crisp acts. These properties in turn restrict what can possibly be an unambiguous financial asset."
Godey Bruno,Manthiou Pederzoli Rokka Aiello Donvito Singh,01/12/2016,anglais,Social media marketing efforts of luxury brands,"Scant evidence is available on of how social media marketing activities influence brand equity creation and consumers' behavior towards a brand. This research explores these relationships by analyzing pioneering brands in the luxury sector (Burberry, Dior, Gucci, Hermès, and Louis Vuitton). Based on a survey of 845 luxury brand consumers (Chinese, French, Indian, and Italian), who follow the five brands studied on social media, the study develops a structural equation model that helps to address gaps in prior social media branding literature. Specifically, the study demonstrates the links between social media marketing efforts and their consequences (brand preference, price premium, and loyalty). The study measures brands' social media marketing efforts as a holistic concept that incorporates five aspects (entertainment, interaction, trendiness, customization, and word of mouth). Another contribution of the study is that it finds that SMMEs have a significant positive effect on brand equity and on the two main dimensions of brand equity: brand awareness and brand image."
Groh Alexander,Wallmeroth,01/12/2016,anglais,Determinants of venture capital investments in emerging markets,"Jeng and Wells (2000) initialized the examination of venture capital (VC) determinants across countries. Meanwhile, we enlarge their scope using aggregated VC funding in 118 countries, 78 being considered emerging markets, using panel data from 2000 to 2013. We show that M&A activity, legal rights and investor protection, innovation, IP protection, corruption and also corporate taxes and unemployment have impact. We reveal the economic magnitude and direction of impact of the determinants to be different for the two country categories for several parameters, enhancing previous research by emphasizing that VC investment drivers can be different for developed and developing countries."
Nigam Amit,Huising Golden,01/12/2016,anglais,Explaining the Selection of Routines for Change during Organizational Search,"We examine how organizations select some routines to be changed, but not others, during organizational search. Selection is a critical step that links an exogenous trigger for change, change in individual routines, and larger processes of organizational adaptation. Drawing on participant observation of an initiative to improve perioperative efficiency in seven Ontario hospitals, we find that organizational roles shape selection by influencing both politics and frames in organizational search. Roles shape politics by defining the role-specific goals of the people who have authority to change a routine. Organizations will not select a routine for change unless at least some elites—people with role-based authority—frame the existing routine as negatively affecting their role-specific goals. Roles also shape individuals’ frames. Because people are only partially exposed to interdependencies between routines in their day-to-day work, they may not be fully aware of the diverse impact that an existing routine can have on their goals. Proponents for change can use strategic framing to focus attention on interdependencies between routines to get elites to better see how an existing routine negatively affects their goals. They can also change elites’ goals by using strategic framing to focus attention on new and broader goals that the change in routine would promote."
